site_id,basin,visit_date,date_label,treatment,survey_type,species,stage,capture_animal_state,tad_stage,swab_id,bd_load,year_std,num_days
11518,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,39,RKS10093,127872,0,0
11518,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,40,RKS10094,21840,0,0
11518,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,40,RKS10095,381888,0,0
11518,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,40,RKS10096,720,0,0
11518,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,43,RKS10097,20640,0,0
11518,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,40,RKS10098,78288,0,0
11526,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,42,RKS10099,3120,0,0
11526,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10100,308592.00000000006,0,0
11526,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,40,RKS10101,29280,0,0
11526,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,38,RKS10102,538608,0,0
11526,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10103,179520,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,40,RKS10104,238992,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,40,RKS10105,114768,0,0
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,42,RKS10106,97968,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,43,RKS10107,16944,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10108,97392,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,42,RKS10109,90864,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10110,130848.00000000001,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10111,288096,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,34,RKS10112,28224,0,2
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10113,49104,0,0
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,34,RKS10114,3168,0,2
