,Estimate,Est.Error,l-95%CI,u-95%CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,17.01,0.13,16.75,17.27,1,2262,2396
location(upper),0.03,0.2,-0.36,0.44,1,1663,2309
group(treated),-0.9,0.16,-1.21,-0.6,1,2185,2317
location(upper):group(treated),0.51,0.25,0,1.01,1,1679,2222
overdispersion,0.54,0.03,0.49,0.59,1,3333,2393
