,Estimate,Est.Error,l-95%CI,u-95%CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,7.27,0.33,6.68,7.95,1,2944,2565
days,-0.14,0.01,-0.16,-0.12,1,2818,2525
frog_group(wild),-0.29,0.75,-1.71,1.24,1,2222,2413
days:frog_group(wild),0.02,0.02,-0.03,0.06,1,2187,2082
overdispersion,0.33,0.04,0.26,0.41,1,3492,2373
