,Estimate,Est.Error,l-95%CI,u-95%CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,13.97,0.22,13.57,14.42,1,3514,2409
expt_trt(treated),0.17,0.27,-0.37,0.68,1,3111,2460
overdispersion,0.82,0.12,0.61,1.07,1,3564,2992
