,Estimate,Est.Error,l-95%CI,u-95%CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,16.11,0.08,15.94,16.28,1,3686,3220
trt_died(TRUE),-0.18,0.18,-0.53,0.18,1,2843,2880
location(upper),0.54,0.15,0.25,0.84,1,2511,2770
trt_died(TRUE):location(upper),0.23,0.27,-0.28,0.75,1,2336,2622
overdispersion,0.52,0.03,0.47,0.57,1,3922,2800
