,Estimate,Est.Error,l-95%CI,u-95%CI,Rhat,Bulk_ESS,Tail_ESS
sd(Intercept),0.33,0.27,0.01,1,1,1428,1686
Intercept,0.76,0.72,-0.57,2.3,1,2810,2147
basin(dusy),0.43,0.5,-0.52,1.43,1,3470,2893
ltadpole,0.45,0.24,-0.02,0.91,1,3482,2531
year_std(1),-0.28,0.65,-1.57,0.93,1,2734,2226
treatment(treated),1.65,0.67,0.35,2.97,1,2910,2770
year_std(1):treatment(treated),-2.16,0.86,-3.84,-0.51,1,2546,2616
overdispersion,0.65,0.18,0.37,1.06,1,4460,3320
