,Estimate,Est.Error,l-95%CI,u-95%CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,3.13,2.68,-2.15,8.4,1,1800,2078
capture_bdload_std,-5.93,4.88,-15.25,4.22,1,1357,1773
days_inside,-1.42,0.43,-2.26,-0.57,1,1820,2119
capture_bdload_std:days_inside,0.56,0.75,-0.99,1.99,1,1351,1549
sigma,3.1,0.43,2.4,4.07,1,2484,2221
