,Estimate,Est.Error,l-95%CI,u-95%CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,13.46,0.27,12.96,14,1,3780,3096
overdispersion-Intercept,-1.59,0.12,-1.84,-1.35,1,4561,3194
stage(tadpole),-2.28,0.29,-2.87,-1.74,1,3248,3010
trt_period(end),-2.56,0.22,-2.98,-2.11,1,3179,2841
basin(dusy),1.71,0.19,1.35,2.06,1,3680,3357
trt_period(end):basin(dusy),-4.82,0.45,-5.68,-3.88,1,3125,2537
overdispersion-stage(tadpole),1.36,0.14,1.1,1.64,1,4018,2923
overdispersion-trt_period(end),-1.11,0.11,-1.34,-0.9,1,3478,3082
overdispersion-basin(dusy),-0.83,0.12,-1.05,-0.59,1,4047,2579
